player_id,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
4095,SC1,2.0,0.0,0.0,0.0,2158.0
4111,GB1,0.0,0.0,0.0,0.0,939.0
4112,GB1,0.0,0.0,0.0,0.0,10.0
4115,GB1,3.5,0.0,1.0,0.0,1058.5
4133,SC1,0.0,0.0,0.0,0.0,1030.0
4158,NL1,3.0,0.0,3.5,3.0,1999.5
4188,PO1,4.5,0.0,3.0,3.5,1299.5
4192,DK1,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,238.33333333333334
4205,GB1,2.5,0.5,3.5,3.0,1546.0
4208,L1,0.5,0.0,0.0,0.0,128.5
4216,SC1,0.0,0.0,0.0,0.0,193.0
4217,GR1,4.5,0.5,6.5,2.0,1672.5
4219,GB1,0.0,0.0,0.0,0.0,35.0
4233,GB1,0.5,0.0,0.0,0.0,337.5
4241,GR1,0.0,0.0,0.0,0.0,360.0
4248,TR1,3.0,0.0,2.5,5.5,1588.5
4251,SC1,1.0,0.0,0.0,0.0,1710.0
4257,TR1,4.0,0.0,16.666666666666668,5.0,2453.3333333333335
4267,GB1,2.0,0.25,0.0,0.25,2447.0
4276,IT1,5.0,0.0,19.5,7.0,2595.0
4277,SC1,3.0,0.0,0.0,0.0,255.0
4310,IT1,0.0,0.0,0.0,0.0,405.0
4311,NL1,0.0,0.0,0.0,0.0,855.0
4314,IT1,2.0,1.0,1.0,1.0,597.0
4315,NL1,0.0,0.0,0.0,0.0,40.0
4316,DK1,2.0,0.0,1.0,0.0,1863.0
4317,FR1,0.25,0.0,1.75,3.0,1794.25
4321,GB1,2.25,0.0,0.0,0.75,430.0
4323,BE1,8.5,0.0,0.5,1.0,1673.5
4327,NL1,4.0,0.0,1.0,4.0,1717.0
4334,NL1,3.0,0.0,0.0,0.0,3060.0
4337,DK1,0.0,0.0,0.0,0.0,233.0
4338,NL1,1.0,0.0,0.0,1.0,1660.0
4344,NL1,3.0,0.0,0.5,0.0,797.0
4351,DK1,4.0,0.0,0.0,0.0,689.0
4357,NL1,1.75,0.0,9.75,2.0,919.25
4359,NL1,2.0,0.0,2.0,0.0,659.0
4360,NL1,0.0,0.0,0.0,2.0,173.0
4371,ES1,10.0,0.0,0.0,0.0,1687.0
4377,BE1,3.25,0.0,3.0,2.0,1228.25
4380,NL1,0.0,0.5,10.5,2.5,1158.0
4383,DK1,5.5,0.5,3.0,1.0,1012.5
4384,BE1,0.0,0.0,0.0,0.0,136.5
4403,DK1,5.666666666666667,0.0,1.0,3.3333333333333335,1387.0
4408,NL1,1.0,0.0,2.0,2.0,568.0
4410,NL1,7.0,0.0,5.0,0.0,2790.0
4415,NL1,1.5,0.0,0.0,1.0,795.5
4424,NL1,2.0,0.0,0.0,1.0,644.0
4425,NL1,3.0,0.5,1.5,4.0,1659.5
4429,NL1,1.0,0.0,2.0,0.0,611.0
4451,NL1,0.0,0.0,1.5,0.0,231.0
4452,NL1,1.0,0.0,3.0,1.6666666666666667,1481.3333333333333
4456,NL1,0.0,0.0,0.0,1.0,411.0
4471,NL1,1.0,0.0,0.0,0.0,191.0
4487,NL1,0.0,0.0,0.0,0.0,540.0
4489,NL1,2.0,1.0,0.0,2.0,764.0
4513,NL1,0.0,0.0,0.0,0.0,532.0
4517,NL1,0.75,0.0,0.0,0.25,595.25
4519,NL1,1.0,0.0,0.0,1.0,1366.0
4520,NL1,0.5,0.0,0.0,0.0,365.5
4531,NL1,2.5,1.0,4.0,2.5,743.5
4533,NL1,3.0,0.3333333333333333,0.6666666666666666,1.0,367.6666666666667
4538,NL1,1.0,0.0,0.0,0.5,2250.0
4563,NL1,2.6666666666666665,0.3333333333333333,0.3333333333333333,1.0,1561.3333333333333
4570,NL1,0.0,0.0,0.0,0.0,35.0
4573,NL1,2.0,0.0,0.0,1.0,622.0
4582,NL1,0.0,0.0,0.0,0.0,630.0
4592,NL1,1.0,0.0,2.0,5.0,1765.0
4605,BE1,0.5,0.0,0.0,0.0,961.0
4607,NL1,1.0,0.0,0.0,0.0,297.0
4624,NL1,1.5,0.0,0.0,0.0,354.0
4634,NL1,2.0,0.0,0.25,0.0,1013.75
4638,NL1,4.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,2015.0
4669,NL1,3.0,0.0,0.0,1.0,1270.0
4672,L1,2.0,0.0,0.0,0.0,742.0
4673,FR1,0.0,0.0,0.0,0.0,400.0
4676,NL1,2.0,0.0,3.0,1.0,1339.5
4678,PO1,3.5,0.0,0.5,0.0,580.0
4687,L1,1.5,0.0,2.0,1.75,1321.5
4691,L1,7.25,0.0,0.75,0.0,1257.0
4698,NL1,1.75,0.0,1.0,0.75,1226.25
4740,L1,1.5,0.0,0.5,0.0,994.5
4742,BE1,3.3333333333333335,0.0,1.0,0.6666666666666666,1098.3333333333333
4746,L1,0.0,0.0,0.0,0.0,43.0
4750,SC1,1.0,0.3333333333333333,6.333333333333333,3.3333333333333335,1894.3333333333333
4763,DK1,0.0,0.0,0.5,0.0,172.5
4793,IT1,6.0,1.0,1.0,0.0,2971.0
4796,FR1,5.5,0.0,1.0,1.0,2136.0
4811,FR1,3.25,0.75,0.0,1.25,2279.5
4829,DK1,0.0,0.0,0.0,0.0,315.0
4873,TR1,4.0,0.0,1.0,0.0,1917.0
4902,TR1,1.0,0.0,7.666666666666667,4.0,1849.3333333333333
5017,L1,5.0,0.0,0.25,0.5,1751.75
